id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
36,Nutrabolt,https://www.linkedin.com/sales/accounts/insights?companyId=701483,http://www.nutrabolt.com,"Bryan/College Station, Texas Area",Consumer Goods,201-500,260 employees on LinkedIn,701483
37,Rifle Paper Co.,https://www.linkedin.com/sales/accounts/insights?companyId=3672379,https://riflepaperco.com/,"Orlando, Florida Area",Consumer Goods,201-500,110 employees on LinkedIn,3672379
38,Gemline,https://www.linkedin.com/sales/accounts/insights?companyId=28555,http://www.gemline.com,Greater Boston Area,Consumer Goods,201-500,218 employees on LinkedIn,28555
39,Sperry,https://www.linkedin.com/sales/accounts/insights?companyId=1817871,http://www.sperry.com,Greater Boston Area,Consumer Goods,201-500,313 employees on LinkedIn,1817871
40,Loot Crate,https://www.linkedin.com/sales/accounts/insights?companyId=3236267,http://www.lootcrate.com,Greater Los Angeles Area,Consumer Goods,201-500,196 employees on LinkedIn,3236267
41,Hansgrohe North America,https://www.linkedin.com/sales/accounts/insights?companyId=2750209,http://www.hansgrohe-usa.com,Greater Atlanta Area,Consumer Goods,201-500,88 employees on LinkedIn,2750209
42,CAA-GBG Global Brand Management Group,https://www.linkedin.com/sales/accounts/insights?companyId=29975,http://www.caa-gbg.com,Greater New York City Area,Consumer Goods,201-500,225 employees on LinkedIn,29975
43,Bigelow Tea,https://www.linkedin.com/sales/accounts/insights?companyId=112225,http://www.bigelowtea.com,Greater New York City Area,Consumer Goods,201-500,154 employees on LinkedIn,112225
44,Kichler Lighting,https://www.linkedin.com/sales/accounts/insights?companyId=22886,http://www.kichler.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,368 employees on LinkedIn,22886
45,1st Phorm International,https://www.linkedin.com/sales/accounts/insights?companyId=9447717,http://www.1stphorm.com,Greater St. Louis Area,Consumer Goods,201-500,246 employees on LinkedIn,9447717
46,"Channellock, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=271422,http://www.channellock.com,"Sharon, Pennsylvania Area",Consumer Goods,201-500,84 employees on LinkedIn,271422
47,"KidKraft, Inc",https://www.linkedin.com/sales/accounts/insights?companyId=68982,http://www.KidKraft.com,Dallas/Fort Worth Area,Consumer Goods,201-500,209 employees on LinkedIn,68982
48,"InterDesign, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=592841,http://www.interdesignusa.com,"Cleveland/Akron, Ohio Area",Consumer Goods,201-500,260 employees on LinkedIn,592841
49,HoMedics,https://www.linkedin.com/sales/accounts/insights?companyId=44402,http://www.homedics.com/,Greater Detroit Area,Consumer Goods,201-500,347 employees on LinkedIn,44402
50,Horizon Group USA,https://www.linkedin.com/sales/accounts/insights?companyId=59061,http://www.horizongroupusa.com,Greater New York City Area,Consumer Goods,201-500,265 employees on LinkedIn,59061
51,Sundial Brands,https://www.linkedin.com/sales/accounts/insights?companyId=5092713,http://www.SundialBrands.com,Greater New York City Area,Consumer Goods,201-500,165 employees on LinkedIn,5092713
