name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"Modern Edge, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=604134,http://www.modernedge.com,"Portland, Oregon Area",Design,10 employees on LinkedIn,604134
ATOM Innovation   Product Development (Formerly ATOMdesign),https://www.linkedin.com/sales/accounts/insights?companyId=611382,http://www.atom-inc.co,"Phoenix, Arizona Area",Mechanical or Industrial Engineering,10 employees on LinkedIn,611382
Blur Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=10456657,http://www.blurpd.com,"Raleigh-Durham, North Carolina Area",Design,14 employees on LinkedIn,10456657
Keystone Solutions Group,https://www.linkedin.com/sales/accounts/insights?companyId=487428,http://www.keystone-pd.com,"Kalamazoo, Michigan Area",Mechanical or Industrial Engineering,17 employees on LinkedIn,487428
Empire Group,https://www.linkedin.com/sales/accounts/insights?companyId=604291,http://www.empiregroupusa.com,"Providence, Rhode Island Area",Design,17 employees on LinkedIn,604291
Cerno LLC,https://www.linkedin.com/sales/accounts/insights?companyId=1677136,http://www.cernogroup.com/,"Orange County, California Area",Design,16 employees on LinkedIn,1677136
Amron,https://www.linkedin.com/sales/accounts/insights?companyId=2496335,http://AmronExperimental.com,Greater NewYork City Area,Design,23 employees on LinkedIn,2496335
International Center for Creativity,https://www.linkedin.com/sales/accounts/insights?companyId=840126,http://www.iccreativity.com,"Columbus, Ohio Area",Design,16 employees on LinkedIn,840126
Shea Latone Design Development,https://www.linkedin.com/sales/accounts/insights?companyId=1527403,http://www.shealatone.com,Greater Philadelphia Area,Design,10 employees on LinkedIn,1527403
Zukun Plan LLC,https://www.linkedin.com/sales/accounts/insights?companyId=2986089,http://www.zukun.com,"Columbus, Ohio Area",Design,17 employees on LinkedIn,2986089
Metropolis Design,https://www.linkedin.com/sales/accounts/insights?companyId=2749430,http://www.metropolisdesign.com,Greater Salt Lake City Area,Design,20 employees on LinkedIn,2749430
Kollabra Consulting,https://www.linkedin.com/sales/accounts/insights?companyId=3880828,http://www.kollabra.com,"Sacramento, California Area",Mechanical or Industrial Engineering,11 employees on LinkedIn,3880828
Jakes Cafe,https://www.linkedin.com/sales/accounts/insights?companyId=1994128,http://www.jakescafe.net,"Sheboygan,Wisconsin Area",Design,11 employees on LinkedIn,1994128
DesignThink,https://www.linkedin.com/sales/accounts/insights?companyId=490617,http://www.designthinkstudios.com,Greater Philadelphia Area,Design,11 employees on LinkedIn,490617
"Form Factory, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=268434,http://www.formfactoryinc.com,"Portland, Oregon Area",Design,10 employees on LinkedIn,268434
