name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"Coyote Concepts, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2120542,http://www.coyoteconcepts.com,Greater San Diego Area,Design,2 employees on LinkedIn,2120542
STAUFFER DESIGN INC.,https://www.linkedin.com/sales/accounts/insights?companyId=3340364,http://www.staufferdesign.com,Greater Atlanta Area,Design,1 employees on LinkedIn,3340364
ZERO1 LLC,https://www.linkedin.com/sales/accounts/insights?companyId=634143,http://WWW.ZERO1.COM,"Greater Grand Rapids, Michigan Area",Design,1 employees on LinkedIn,634143
Studio ReDesign,https://www.linkedin.com/sales/accounts/insights?companyId=2631847,http://www.studioredesign.com,Greater San Diego Area,Design,3 employees on LinkedIn,2631847
Iver Design,https://www.linkedin.com/sales/accounts/insights?companyId=18254986,https://iverdesign.com,"Greater Grand Rapids, Michigan Area",Design,2 employees on LinkedIn,18254986
"Delise Design Works, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=18000584,http://DeliseDesignWorks.com,,Design,1 employees on LinkedIn,18000584
Prevail Prototypes,https://www.linkedin.com/sales/accounts/insights?companyId=10678457,http://www.prevailprototypes.com,San Francisco Bay Area,Mechanical or Industrial Engineering,5 employees on LinkedIn,10678457
Sector 5 Design,https://www.linkedin.com/sales/accounts/insights?companyId=420962,,Greater Pittsburgh Area,Design,0 employees on LinkedIn,420962
Revolution Design,https://www.linkedin.com/sales/accounts/insights?companyId=11506004,http://revolutiondesignenterprises.wordpress.com,,Design,1 employees on LinkedIn,11506004
Costello Design,https://www.linkedin.com/sales/accounts/insights?companyId=18594812,http://www.costellodesign.com,"Portland, Oregon Area",Design,1 employees on LinkedIn,18594812
Jolee Nebert Design,https://www.linkedin.com/sales/accounts/insights?companyId=18166137,http://www.joleenebert.com,United States,Design,0 employees on LinkedIn,18166137
Creative Business Design Consultant,https://www.linkedin.com/sales/accounts/insights?companyId=598693,http://www.ericwilmot.com,Greater New York City Area,Design,0 employees on LinkedIn,598693
Bilitz Design Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1154333,http://www.bilitz.com,Greater Minneapolis-St. Paul Area,Design,2 employees on LinkedIn,1154333
STOUT DESIGN HOUSE,https://www.linkedin.com/sales/accounts/insights?companyId=18247566,http://www.stoutdesignhouse.com,Dallas/Fort Worth Area,Design,1 employees on LinkedIn,18247566
Symmetry Product Design,https://www.linkedin.com/sales/accounts/insights?companyId=6649418,http://symmetrypd.com,United States,Design,0 employees on LinkedIn,6649418
LUCY TUPU LLC,https://www.linkedin.com/sales/accounts/insights?companyId=10608061,http://www.lucytupu.com,,Design,4 employees on LinkedIn,10608061
Source Design International LLC,https://www.linkedin.com/sales/accounts/insights?companyId=11436680,http://www.sourcedesigninternational.com,Greater Pittsburgh Area,Design,1 employees on LinkedIn,11436680
Works Manufacturing,https://www.linkedin.com/sales/accounts/insights?companyId=1212967,http://www.worksmfg.com,Greater New York City Area,Design,2 employees on LinkedIn,1212967
Gaylia Wagner Design,https://www.linkedin.com/sales/accounts/insights?companyId=3271392,http://www.gayliawagnerdesign.com,Washington D.C. Metro Area,Design,1 employees on LinkedIn,3271392
ORDO AB CHAO Design,https://www.linkedin.com/sales/accounts/insights?companyId=17920297,http://www.ordoabchaodesign.com,,Mechanical or Industrial Engineering,3 employees on LinkedIn,17920297
Exotic Interiors,https://www.linkedin.com/sales/accounts/insights?companyId=9696923,http://www.exotic-interiors.com,,Design,14 employees on LinkedIn,9696923
"Motim Industries, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=3239773,http://motimindustries.com/,,Mechanical or Industrial Engineering,3 employees on LinkedIn,3239773
"Ivy Prototype Manufacturing Co.,Ltd",https://www.linkedin.com/sales/accounts/insights?companyId=10336453,http://www.ivy-prototype.com,,Mechanical or Industrial Engineering,7 employees on LinkedIn,10336453
structureVibe,https://www.linkedin.com/sales/accounts/insights?companyId=1237632,http://www.structureVibe.com,Greater Detroit Area,Design,0 employees on LinkedIn,1237632
SPACECUTTER,https://www.linkedin.com/sales/accounts/insights?companyId=1824079,http://spacecutter.com,Greater NewYork City Area,Design,2 employees on LinkedIn,1824079
Katherine Rupp,https://www.linkedin.com/sales/accounts/insights?companyId=1008137,https://www.linkedin.com/in/ruppkatherine,United States,Design,1 employees on LinkedIn,1008137
Michael DiTullo LLC,https://www.linkedin.com/sales/accounts/insights?companyId=18066275,http://michaelditullo.com,United States,Design,1 employees on LinkedIn,18066275
Three Arrows Design,https://www.linkedin.com/sales/accounts/insights?companyId=11228788,http://www.ThreeArrowsDesign.com,United States,Design,1 employees on LinkedIn,11228788
DSW Cutting,https://www.linkedin.com/sales/accounts/insights?companyId=16199100,http://www.dswcutting.com,"Birmingham, Alabama Area",Mechanical or Industrial Engineering,3 employees on LinkedIn,16199100
LIFTnewyork,https://www.linkedin.com/sales/accounts/insights?companyId=1877402,http://www.liftnewyork.com,GreaterNew York City Area,Design,1 employees on LinkedIn,1877402
IDS GLOBAL,https://www.linkedin.com/sales/accounts/insights?companyId=605078,http://www.idsglobal.us,Greater Atlanta Area,Design,3 employees on LinkedIn,605078
Peer Product Design,https://www.linkedin.com/sales/accounts/insights?companyId=18537734,,United States,Design,1 employees on LinkedIn,18537734
"A2J Group, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=2299226,http://www.a2jgroup.com,GreaterPhiladelphia Area,Design,1 employees on LinkedIn,2299226
Playful Studios,https://www.linkedin.com/sales/accounts/insights?companyId=2117795,http://www.playfulstudios.com,"Phoenix, Arizona Area",Design,1 employees on LinkedIn,2117795
Aproio product engineering/development consultancy for medical device markets and more.,https://www.linkedin.com/sales/accounts/insights?companyId=18070372,http://aproio.com,United States,Mechanical or Industrial Engineering,4 employees on LinkedIn,18070372
LWD - League of Women Designers,https://www.linkedin.com/sales/accounts/insights?companyId=18520667,https://lwdportland.org/,"Portland, Oregon Area",Design,0 employees on LinkedIn,18520667
Chin De Watteville Design Std,https://www.linkedin.com/sales/accounts/insights?companyId=4437856,http://www.chindewatteville.com/,,Design,3 employees on LinkedIn,4437856
tenndo studio,https://www.linkedin.com/sales/accounts/insights?companyId=2400684,http://www.tenndo.com,Greater New York City Area,Design,1 employees on LinkedIn,2400684
Andrew Bowen Designs llc,https://www.linkedin.com/sales/accounts/insights?companyId=10690747,http://www.andrewbowendesigns.com/,Greater Seattle Area,Design,1 employees on LinkedIn,10690747
Regatta Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=16261117,http://www.RegattaPD.com,Dallas/Fort Worth Area,Mechanical or Industrial Engineering,4 employees on LinkedIn,16261117
whys:ideas,https://www.linkedin.com/sales/accounts/insights?companyId=2424754,http://whysideas.com,"Houston, TexasArea",Design,1 employees on LinkedIn,2424754
ACLA studio,https://www.linkedin.com/sales/accounts/insights?companyId=18332556,http://aclastudio.com,Greater LosAngeles Area,Design,2 employees on LinkedIn,18332556
Simon P Edwards Innovations,https://www.linkedin.com/sales/accounts/insights?companyId=4832866,http://www.simonpedwards.com,"Orange County, California Area",Design,1 employees on LinkedIn,4832866
Sprouting Srocket Studio,https://www.linkedin.com/sales/accounts/insights?companyId=3315068,http://www.sproutingsprocket.com,"Santa Barbara, California Area",Design,2 employees on LinkedIn,3315068
"Technical Support, Inc",https://www.linkedin.com/sales/accounts/insights?companyId=1901279,http://www.tech-support-inc.com,"Portland, Maine Area",Design,2 employees on LinkedIn,1901279
ALSheaffer Consulting,https://www.linkedin.com/sales/accounts/insights?companyId=969503,http://www.alsheaffer.com,Greater Los Angeles Area,Mechanical or Industrial Engineering,1 employees on LinkedIn,969503
"Kevin Reilly Collection, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=15564842,http://kevinreillycollection.com,Greater Chicago Area,Design,3 employees on LinkedIn,15564842
Serve PD LLC,https://www.linkedin.com/sales/accounts/insights?companyId=6608571,http://www.servepd.com,San Francisco Bay Area,Mechanical or Industrial Engineering,1 employees on LinkedIn,6608571
Mōdolo,https://www.linkedin.com/sales/accounts/insights?companyId=7943967,http://www.modolo.io,,Design,1 employees on LinkedIn,7943967
Arc34,https://www.linkedin.com/sales/accounts/insights?companyId=11194420,http://www.arc34.com,Washington D.C. Metro Area,Design,3 employees on LinkedIn,11194420
Lange Concepts,https://www.linkedin.com/sales/accounts/insights?companyId=253849,http://www.langeconcepts.com,"Savannah, Georgia Area",Design,1 employees on LinkedIn,253849
CCTRONIC LLC,https://www.linkedin.com/sales/accounts/insights?companyId=16258828,http://www.cctronic.com,"Toledo, Ohio Area",Design,4 employees on LinkedIn,16258828
DSP Electronics Inc,https://www.linkedin.com/sales/accounts/insights?companyId=7971555,http://dspelectronics.com,San Francisco Bay Area,Design,4 employees on LinkedIn,7971555
Charging Champions Robotics,https://www.linkedin.com/sales/accounts/insights?companyId=18204836,http://www.chargingchampions.org,"Orange County, California Area",Mechanical or Industrial Engineering,3 employees on LinkedIn,18204836
Yowzah Baby! Productions,https://www.linkedin.com/sales/accounts/insights?companyId=381372,http://www.yowzah.com,San Francisco Bay Area,Design,1 employees on LinkedIn,381372
Coduro,https://www.linkedin.com/sales/accounts/insights?companyId=6459144,http://coduro.com,"Charlotte, North Carolina Area",Design,2 employees on LinkedIn,6459144
Durham Parks Associates,https://www.linkedin.com/sales/accounts/insights?companyId=566484,http://durhamparks.com,Greater St. Louis Area,Design,1 employees on LinkedIn,566484
Always Good Company,https://www.linkedin.com/sales/accounts/insights?companyId=18085035,http://alwaysgoodcompany.com/,Greater Seattle Area,Design,1 employees on LinkedIn,18085035
X3nostudio,https://www.linkedin.com/sales/accounts/insights?companyId=1315948,http://www.x3nostudio.com,San Francisco Bay Area,Design,1 employees on LinkedIn,1315948
"Bryan Dynamics, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=4632486,http://www.bryandynamics.com,Miami/Fort Lauderdale Area,Design,1 employees on LinkedIn,4632486
Coconspire Creative,https://www.linkedin.com/sales/accounts/insights?companyId=1791388,http://Coconspire.com,"Jonesboro, Arkansas Area",Design,0 employees on LinkedIn,1791388
Well Made LLC,https://www.linkedin.com/sales/accounts/insights?companyId=16214220,http://wearewellmade.com,Greater Chicago Area,Design,2 employees on LinkedIn,16214220
Day,https://www.linkedin.com/sales/accounts/insights?companyId=10525155,http://Dayandage.us,"New London/Norwich, Connecticut Area",Design,1 employees on LinkedIn,10525155
Innovation Forge,https://www.linkedin.com/sales/accounts/insights?companyId=10230254,http://www.i-forge.co,,Design,0 employees on LinkedIn,10230254
Arbiter Incorporated,https://www.linkedin.com/sales/accounts/insights?companyId=25038996,http://www.arbitertech.com,"Portland, Oregon Area",Design,2 employees on LinkedIn,25038996
studio|basis,https://www.linkedin.com/sales/accounts/insights?companyId=840111,http://www.studiobasis.com,"Orange County, California Area",Design,1 employees on LinkedIn,840111
Epicsteme Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=3220970,http://www.epicsteme.com,,Design,0 employees on LinkedIn,3220970
Olivialand Studio,https://www.linkedin.com/sales/accounts/insights?companyId=18274233,http://olivialand.studio,Greater New York City Area,Design,1 employees on LinkedIn,18274233
Deep Sky Designs,https://www.linkedin.com/sales/accounts/insights?companyId=13222539,http://deepskydesigns.net,San Francisco Bay Area,Design,1 employees on LinkedIn,13222539
"Fizz, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=27194100,http://fizzisnice.com,"Providence, Rhode Island Area",Design,1 employees on LinkedIn,27194100
SO dsgn,https://www.linkedin.com/sales/accounts/insights?companyId=28605143,https://www.instagram.com/so.dsgn/,United States,Design,1 employees on LinkedIn,28605143
Wasabi Robot,https://www.linkedin.com/sales/accounts/insights?companyId=7972613,http://wasabi-robot.com,"Orange County, California Area",Design,1 employees on LinkedIn,7972613
NovaRay Studios LLC,https://www.linkedin.com/sales/accounts/insights?companyId=10602147,http://novaraystudios.com,Greater Denver Area,Design,0 employees on LinkedIn,10602147
Towmill,https://www.linkedin.com/sales/accounts/insights?companyId=280028,,United States,Design,0 employees on LinkedIn,280028
iDcow,https://www.linkedin.com/sales/accounts/insights?companyId=972454,http://www.idcow.net,United States,Design,0 employees on LinkedIn,972454
Shay Studio,https://www.linkedin.com/sales/accounts/insights?companyId=18408925,http://shaystudiocolumbus.com,"Columbus, Ohio Area",Design,1 employees on LinkedIn,18408925
The Mighty Motor,https://www.linkedin.com/sales/accounts/insights?companyId=18145971,https://themightymotor.com,United States,Design,2 employees on LinkedIn,18145971
Welded Works,https://www.linkedin.com/sales/accounts/insights?companyId=11498701,http://www.weldedworks.com,Greater New York City Area,Design,1 employees on LinkedIn,11498701
Formiter,https://www.linkedin.com/sales/accounts/insights?companyId=5289324,http://www.formiter.com,United States,Design,0 employees on LinkedIn,5289324
Creativid LLC,https://www.linkedin.com/sales/accounts/insights?companyId=25023658,http://www.mikebrownideas.com,Greater Denver Area,Design,0 employees on LinkedIn,25023658
ZOOM DSR,https://www.linkedin.com/sales/accounts/insights?companyId=22322675,http://www.zoomdsr.com,"Naples, Florida Area",Design,0 employees on LinkedIn,22322675
SFID LLC,https://www.linkedin.com/sales/accounts/insights?companyId=17904249,http://sfid.design,"Portland, Oregon Area",Design,0 employees on LinkedIn,17904249
Fixate,https://www.linkedin.com/sales/accounts/insights?companyId=18590057,http://markcosta.squarespace.com,San Francisco Bay Area,Design,0 employees on LinkedIn,18590057
jondal/walters,https://www.linkedin.com/sales/accounts/insights?companyId=827288,http://jondalwalters.com,United States,Design,1 employees on LinkedIn,827288
JKeenan Studio,https://www.linkedin.com/sales/accounts/insights?companyId=18265336,http://www.jkeenan.com/design/,Greater Detroit Area,Design,0 employees on LinkedIn,18265336
Design Elevation,https://www.linkedin.com/sales/accounts/insights?companyId=10662534,http://www.elevation.design,Greater Denver Area,Design,2 employees on LinkedIn,10662534
"Sigma Design, Product Design and Engineering",https://www.linkedin.com/sales/accounts/insights?companyId=57014,http://www.sigmadzn.com,"Portland, Oregon Area",Design,194 employees on LinkedIn,57014
Machineart Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=3916241,http://www.machineart.com,,Design,1 employees on LinkedIn,3916241
IDF Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=6038908,http://www.idf-tn.com/,,Design,0 employees on LinkedIn,6038908
formaSTRATA,https://www.linkedin.com/sales/accounts/insights?companyId=28134291,http://www.formastrata.com,UnitedStates,Design,0 employees on LinkedIn,28134291
ANDesign Lab,https://www.linkedin.com/sales/accounts/insights?companyId=2285706,http://www.andesignlab.com,"OrangeCounty, California Area",Design,14 employees on LinkedIn,2285706
"HS Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=561149,http://www.hs-design.com,Greater New York City Area,Design,37 employees on LinkedIn,561149
MPE-Inc,https://www.linkedin.com/sales/accounts/insights?companyId=492544,http://www.mpe-inc.com,Greater Milwaukee Area,Mechanical or Industrial Engineering,65 employees on LinkedIn,492544
N.S. Industrial,https://www.linkedin.com/sales/accounts/insights?companyId=1115601,http://nsindustrialdesign.com,"St. Cloud, Minnesota Area",Design,3 employees on LinkedIn,1115601
Cesaroni Design Associates,https://www.linkedin.com/sales/accounts/insights?companyId=2064951,http://www.cesaroni.com,Greater Chicago Area,Design,6 employees on LinkedIn,2064951
Crump Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=7982983,http://www.crumpindustrialdesign.com/,,Design,1 employees on LinkedIn,7982983
Intent-Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=555176,http://www.intent-design.com,Greater Detroit Area,Design,28 employees on LinkedIn,555176
UX Awards,https://www.linkedin.com/sales/accounts/insights?companyId=5072695,http://UXAwards.org,United States,Design,3 employees on LinkedIn,5072695
"Spark* Creative Group, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=294478,http://www.sparkfl.com,"West Palm Beach, Florida Area",Design,13 employees on LinkedIn,294478
Karp Electro Mechanical Design Services LLC,https://www.linkedin.com/sales/accounts/insights?companyId=5124673,http://kemds.com,Greater New York City Area,Mechanical or Industrial Engineering,0 employees on LinkedIn,5124673
Produktworks Design,https://www.linkedin.com/sales/accounts/insights?companyId=727367,http://www.produktworksdesign.com,"Austin, Texas Area",Design,6 employees on LinkedIn,727367
Zwettler Engineering,https://www.linkedin.com/sales/accounts/insights?companyId=552732,http://www.zengr.com,United States,Mechanical or Industrial Engineering,2 employees on LinkedIn,552732
"Helix Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=101749,http://www.helixdesign.com,Greater Boston Area,Design,14 employees on LinkedIn,101749
"TriAxial Design and Analysis, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=385434,http://www.triaxialdesign.com/,Greater San Diego Area,Mechanical or Industrial Engineering,9 employees on LinkedIn,385434
DiMonte Group Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=2560266,http://www.dimontegroup.com,Greater Chicago Area,Design,14 employees on LinkedIn,2560266
Up-Rev Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=3028005,http://www.up-rev.com,"Melbourne, Florida Area",Design,18 employees on LinkedIn,3028005
Solaris Design,https://www.linkedin.com/sales/accounts/insights?companyId=1149660,http://www.solarisid.com,Washington D.C. Metro Area,Design,3 employees on LinkedIn,1149660
Pearl Engineering Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=322864,http://www.PearlEngineering.com,"Wausau, Wisconsin Area",Mechanical or Industrial Engineering,29 employees on LinkedIn,322864
Bilio,https://www.linkedin.com/sales/accounts/insights?companyId=6636389,http://www.biliogroup.com,San Francisco Bay Area,Design,12 employees on LinkedIn,6636389
Thought at Work: Student Design Conference,https://www.linkedin.com/sales/accounts/insights?companyId=2820979,http://www.thoughtatwork.org,"Rochester, New York Area",Design,7 employees on LinkedIn,2820979
Sundberg-Ferar,https://www.linkedin.com/sales/accounts/insights?companyId=108500,http://www.sundbergferar.com,Greater Detroit Area,Design,22 employees on LinkedIn,108500
GHOST WORKS,https://www.linkedin.com/sales/accounts/insights?companyId=6377135,http://ghost-works.com,"Portland, Oregon Area",Design,2 employees on LinkedIn,6377135
Carroll Design,https://www.linkedin.com/sales/accounts/insights?companyId=845430,http://www.carrolldesign.com,Greater Boston Area,Mechanical or Industrial Engineering,11 employees on LinkedIn,845430
Cardboard Helicopter Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=3521963,http://cardboardhelicopter.com/,"Cleveland/Akron, Ohio Area",Design,5 employees on LinkedIn,3521963
TOKEN,https://www.linkedin.com/sales/accounts/insights?companyId=1207797,http://www.tokennyc.com,Greater New YorkCity Area,Design,6 employees on LinkedIn,1207797
Q Factory 33,https://www.linkedin.com/sales/accounts/insights?companyId=18276597,http://www.qfactory33.com,Greater San Diego Area,Mechanical or Industrial Engineering,3 employees on LinkedIn,18276597
Primer Studios,https://www.linkedin.com/sales/accounts/insights?companyId=2785556,http://Primer-studios.com,Greater Los Angeles Area,Design,1 employees on LinkedIn,2785556
product council,https://www.linkedin.com/sales/accounts/insights?companyId=228614,http://www.productcouncil.com,Greater Chicago Area,Design,4 employees on LinkedIn,228614
Neupath LLC,https://www.linkedin.com/sales/accounts/insights?companyId=514463,http://www.neupath.net,"Kokomo, Indiana Area",Design,4 employees on LinkedIn,514463
Impel Studio,https://www.linkedin.com/sales/accounts/insights?companyId=9267925,http://www.impelstudio.com,Greater New York City Area,Design,6 employees on LinkedIn,9267925
b r e a d design group,https://www.linkedin.com/sales/accounts/insights?companyId=811050,http://www.breaddesign.com,United States,Design,9 employees on LinkedIn,811050
One Off Effects LLC.,https://www.linkedin.com/sales/accounts/insights?companyId=3832920,http://www.OneOffEffects.com,Greater Los Angeles Area,Mechanical or Industrial Engineering,2 employees on LinkedIn,3832920
Hybrid Product Design   Dev. Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=1676788,http://www.hybridny.com,Greater New York City Area,Design,0 employees on LinkedIn,1676788
St. John Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=2001725,http://www.stjohndg.com,"Ithaca, New York Area",Design,2 employees on LinkedIn,2001725
CAMP7 Design,https://www.linkedin.com/sales/accounts/insights?companyId=2518487,http://www.camp-7.com,Greater LosAngeles Area,Design,3 employees on LinkedIn,2518487
Modaliti Design,https://www.linkedin.com/sales/accounts/insights?companyId=3086137,http://www.modaliti.com,Greater Salt Lake City Area,Design,4 employees on LinkedIn,3086137
Wooding Design,https://www.linkedin.com/sales/accounts/insights?companyId=416719,http://www.woodingdesign.com,"Providence, Rhode Island Area",Design,4 employees on LinkedIn,416719
Acudyn Incorporated,https://www.linkedin.com/sales/accounts/insights?companyId=1065627,http://www.acudyn.com,"Orlando, Florida Area",Mechanical or Industrial Engineering,0 employees on LinkedIn,1065627
Endesin Corporation,https://www.linkedin.com/sales/accounts/insights?companyId=268079,http://www.endesin.com,"Buffalo/Niagara, New York Area",Mechanical or Industrial Engineering,3 employees on LinkedIn,268079
ippdllc,https://www.linkedin.com/sales/accounts/insights?companyId=3795441,http://www.ippdllc.com,Greater Milwaukee Area,Mechanical or Industrial Engineering,3 employees on LinkedIn,3795441
Coco Raynes Associates,https://www.linkedin.com/sales/accounts/insights?companyId=1888086,http://www.raynesassociates.com,Greater Boston Area,Design,3 employees on LinkedIn,1888086
Merge Engineering,https://www.linkedin.com/sales/accounts/insights?companyId=1917775,http://www.merge3d.com,,Mechanical or Industrial Engineering,0 employees on LinkedIn,1917775
"Product 918, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=2947943,http://www.product918.com,Greater Detroit Area,Design,6 employees on LinkedIn,2947943
Snap Design,https://www.linkedin.com/sales/accounts/insights?companyId=8056481,,,Design,7 employees on LinkedIn,8056481
Hotwire Development,https://www.linkedin.com/sales/accounts/insights?companyId=2565112,http://hotwiredevelopment.com,"Phoenix, Arizona Area",Design,8 employees on LinkedIn,2565112
Innovae LLC,https://www.linkedin.com/sales/accounts/insights?companyId=10783094,http://www.innovaellc.com,GreaterDenver Area,Design,9 employees on LinkedIn,10783094
Sprocket Studio,https://www.linkedin.com/sales/accounts/insights?companyId=1596512,http://www.sprocketstudio.com,Washington D.C. Metro Area,Design,0 employees on LinkedIn,1596512
OTERO Design Studio,https://www.linkedin.com/sales/accounts/insights?companyId=1259193,http://www.otero-d.com,United States,Design,4 employees on LinkedIn,1259193
"People of Resource, llc",https://www.linkedin.com/sales/accounts/insights?companyId=407419,http://peopleofresource.com/,Greater Atlanta Area,Design,3 employees on LinkedIn,407419
Sam H Snyder Design,https://www.linkedin.com/sales/accounts/insights?companyId=2421325,http://www.samhsnyder.com,Greater New York City Area,Design,1 employees on LinkedIn,2421325
ARCADIA designworks,https://www.linkedin.com/sales/accounts/insights?companyId=686191,http://www.arcadiadesignworks.com,"Portland, Maine Area",Design,3 employees on LinkedIn,686191
Art-Tronics,https://www.linkedin.com/sales/accounts/insights?companyId=3212120,http://www.art-tronics.com,"Richmond, Virginia Area",Design,0 employees on LinkedIn,3212120
Dunes Design,https://www.linkedin.com/sales/accounts/insights?companyId=1130061,http://www.dunesdesign.com,UnitedStates,Design,0 employees on LinkedIn,1130061
Svveet Design,https://www.linkedin.com/sales/accounts/insights?companyId=1026038,http://www.svveetdesign.com,"Cleveland/Akron, Ohio Area",Design,1 employees on LinkedIn,1026038
M80 inc.,https://www.linkedin.com/sales/accounts/insights?companyId=627034,http://www.m80inc.com,"Cincinnati, OhioArea",Design,3 employees on LinkedIn,627034
Upstream Design,https://www.linkedin.com/sales/accounts/insights?companyId=619633,http://upstreamdesign.net,"Buffalo/Niagara, New York Area",Design,1 employees on LinkedIn,619633
Gati Design,https://www.linkedin.com/sales/accounts/insights?companyId=18390453,http://www.gatidesign.com/,Greater Seattle Area,Design,1 employees on LinkedIn,18390453
studioFAR,https://www.linkedin.com/sales/accounts/insights?companyId=2758388,http://www.studioFAR.com,San Francisco Bay Area,Design,1 employees on LinkedIn,2758388
GinnDesign Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=540861,http://www.ginndesign.com/,"Raleigh-Durham, North Carolina Area",Design,1 employees on LinkedIn,540861
Trapezoid Product Design and Development,https://www.linkedin.com/sales/accounts/insights?companyId=10347151,http://www.trapezoid.design,Greater Minneapolis-St. Paul Area,Design,1 employees on LinkedIn,10347151
"Julius Barth and Associates, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=637783,http://www.juliusbarth.com,"Elkhart, Indiana Area",Design,4 employees on LinkedIn,637783
Kuatro Design Studio,https://www.linkedin.com/sales/accounts/insights?companyId=22338860,http://kuatrostudio.com,Miami/Fort Lauderdale Area,Design,1 employees on LinkedIn,22338860
I-Draw Design,https://www.linkedin.com/sales/accounts/insights?companyId=9204808,http://www.I-DrawDesign.com,"WestPalm Beach, Florida Area",Design,0 employees on LinkedIn,9204808
Zaic Design LLC,https://www.linkedin.com/sales/accounts/insights?companyId=13687113,http://www.zaicdesign.com,United States,Design,1 employees on LinkedIn,13687113
Eldon Design Associates,https://www.linkedin.com/sales/accounts/insights?companyId=650450,http://EldonDesignAssociates.com,Greater Philadelphia Area,Design,2 employees on LinkedIn,650450
Avant Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=11571036,https://avantdesign.group,"Providence, Rhode Island Area",Design,1 employees on LinkedIn,11571036
"Altitude Unlimited Design, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=1065533,http://www.altitudeunlimiteddesign.com,Greater Denver Area,Design,0 employees on LinkedIn,1065533
Jack Waller Design,https://www.linkedin.com/sales/accounts/insights?companyId=2866284,http://JackWallerDesign.com,,Design,0 employees on LinkedIn,2866284
Gordon Randall Perry Design,https://www.linkedin.com/sales/accounts/insights?companyId=3915687,http://www.grpd.com,,Design,1 employees on LinkedIn,3915687
Office for Design,https://www.linkedin.com/sales/accounts/insights?companyId=28645720,,Greater New York City Area,Design,1 employees on LinkedIn,28645720
"Iteration, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=437317,http://www.studioiteration.com,Greater Chicago Area,Design,1 employees on LinkedIn,437317
Lukas Yates Design,https://www.linkedin.com/sales/accounts/insights?companyId=1169844,http://www.lukasyatesdesign.com,"Charlotte, North Carolina Area",Design,1 employees on LinkedIn,1169844
James Reed Design,https://www.linkedin.com/sales/accounts/insights?companyId=10472166,http://www.jamesreeddesign.com/,Greater New York City Area,Design,0 employees on LinkedIn,10472166
m0xy,https://www.linkedin.com/sales/accounts/insights?companyId=4846055,http://m0xy.com,San Francisco Bay Area,Design,5 employees on LinkedIn,4846055
blueoculus,https://www.linkedin.com/sales/accounts/insights?companyId=2480745,http://www.blueoculus.com,Greater San Diego Area,Design,2 employees on LinkedIn,2480745
"Environmental Designworks, LLC",https://www.linkedin.com/sales/accounts/insights?companyId=461792,http://sinkpositive.com,"Greater Nashville Area, TN",Design,3 employees on LinkedIn,461792
ICG inc.,https://www.linkedin.com/sales/accounts/insights?companyId=17894893,http://www.icg-intl.com,"Orange County, California Area",Design,10 employees on LinkedIn,17894893
Instinct LLC,https://www.linkedin.com/sales/accounts/insights?companyId=2289224,http://www.TheHumanInstinct.com,"Kansas City, Missouri Area",Design,1 employees on LinkedIn,2289224
Red Freckles,https://www.linkedin.com/sales/accounts/insights?companyId=1712258,http://www.redfreckles.com,UnitedStates,Design,1 employees on LinkedIn,1712258
I D Workshop,https://www.linkedin.com/sales/accounts/insights?companyId=6297452,http://www.idwportland.com/,,Design,11 employees on LinkedIn,6297452
DesignStein Studios,https://www.linkedin.com/sales/accounts/insights?companyId=18121229,http://www.DesignSteinStudios.com,"Orange County, California Area",Design,1 employees on LinkedIn,18121229
GMD-Gregg Miner Development,https://www.linkedin.com/sales/accounts/insights?companyId=4871640,http://www.gmdevelop.com,San Francisco Bay Area,Design,0 employees on LinkedIn,4871640
Mono llc,https://www.linkedin.com/sales/accounts/insights?companyId=18346258,http://www.monopd.com,,Design,1 employees on LinkedIn,18346258
