name,linkedin_url,website,geography,industry,employees_on_linkedin,companyId
"tool, Inc. Product Design",https://www.linkedin.com/sales/accounts/insights?companyId=71623,http://www.toolinc.com,Greater Boston Area,Design,41 employees on LinkedIn,71623
"DesignDesign, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=284804,http://www.designdesignonline.com,Greater Philadelphia Area,Design,19 employees on LinkedIn,284804
FATHOM oakland|seattle,https://www.linkedin.com/sales/accounts/insights?companyId=2263279,http://studiofathom.com,San Francisco Bay Area,Mechanical or Industrial Engineering,74 employees on LinkedIn,2263279
Project H Design,https://www.linkedin.com/sales/accounts/insights?companyId=416791,http://projecthdesign.org,San Francisco Bay Area,Design,11 employees on LinkedIn,416791
"Product Insight, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=2409888,http://www.productinsight.com,Greater Boston Area,Design,16 employees on LinkedIn,2409888
"Catalyst Product Development Group, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=216839,http://www.catalystpdg.com/,"Indianapolis, Indiana Area",Design,19 employees on LinkedIn,216839
Tune Koshy Industrial Design,https://www.linkedin.com/sales/accounts/insights?companyId=11512655,http://www.tunekoshypd.com,Greater Chicago Area,Design,1 employees on LinkedIn,11512655
"Donald Thompson Industrial Design, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=8095708,,,Design,0 employees on LinkedIn,8095708
Nectar Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=239288,http://nectarpd.com,Greater Los Angeles Area,Design,17 employees on LinkedIn,239288
Coho Creative,https://www.linkedin.com/sales/accounts/insights?companyId=99910,http://www.cohocreative.com,"Cincinnati, Ohio Area",Design,41 employees on LinkedIn,99910
ROBRADY design,https://www.linkedin.com/sales/accounts/insights?companyId=147344,http://www.robrady.com,"Sarasota,Florida Area",Design,25 employees on LinkedIn,147344
Institute for Human Centered Design,https://www.linkedin.com/sales/accounts/insights?companyId=1680067,http://www.ihcdesign.org/,Greater Boston Area,Design,34 employees on LinkedIn,1680067
Displayit Inc.,https://www.linkedin.com/sales/accounts/insights?companyId=464438,http://www.displayitinc.com,"Orange County, California Area",Design,28 employees on LinkedIn,464438
Enventys,https://www.linkedin.com/sales/accounts/insights?companyId=40555,http://www.enventys.com,"Charlotte, North Carolina Area",Design,20 employees on LinkedIn,40555
Vapor Studio,https://www.linkedin.com/sales/accounts/insights?companyId=613904,http://www.vapor-studio.com,Greater San Diego Area,Design,15 employees on LinkedIn,613904
Alloy Product Development,https://www.linkedin.com/sales/accounts/insights?companyId=594993,http://www.alloypd.com,San Francisco Bay Area,Design,35 employees on LinkedIn,594993
Curve ID,https://www.linkedin.com/sales/accounts/insights?companyId=446338,http://www.curveid.com,Greater New York City Area,Design,7 employees on LinkedIn,446338
Team Design Group,https://www.linkedin.com/sales/accounts/insights?companyId=2925202,http://www.teamdesigngroup.com,Greater Philadelphia Area,Design,12 employees on LinkedIn,2925202
