id,name,linkedin_url,website,geography,industry,company_headcount,employees_on_linkedin,companyId
61,Gordon Food Service,https://www.linkedin.com/sales/accounts/insights?companyId=8935,http://www.gfs.com,"Greater Grand Rapids, Michigan Area",Food,10001,"6,819 employees on LinkedIn",8935
62,Molson Coors,https://www.linkedin.com/sales/accounts/insights?companyId=8484,http://www.molsoncoors.com,Greater Denver Area,Food,10001,"4,757 employees on LinkedIn",8484
63,Vita Coco,https://www.linkedin.com/sales/accounts/insights?companyId=606183,http://vitacoco.com,Greater New York City Area,Food,201-500,410 employees on LinkedIn,606183
64,Aramark Refreshment Services,https://www.linkedin.com/sales/accounts/insights?companyId=2813,http://www.aramarkrefreshments.com,United States,Food,10001,"5,191 employees on LinkedIn",2813
65,United Natural Foods,https://www.linkedin.com/sales/accounts/insights?companyId=27837,http://www.unfi.com,"Providence, Rhode Island Area",Food,5001-10000,"3,062 employees on LinkedIn",27837
66,"Wendy's/Arby's Group, Inc.",https://www.linkedin.com/sales/accounts/insights?companyId=378362,http://www.wendys.com,Greater Atlanta Area,Food,10001,"2,662 employees on LinkedIn",378362
67,Monster Energy,https://www.linkedin.com/sales/accounts/insights?companyId=983286,http://www.monsterenergy.com,Greater Los Angeles Area,Food,1001-5000,"3,003 employees on LinkedIn",983286
68,Coca-Cola Bottling Co. Consolidated,https://www.linkedin.com/sales/accounts/insights?companyId=629227,http://www.CokeConsolidated.com,"Charlotte, North Carolina Area",Food,10001,"9,371 employees on LinkedIn",629227
69,Magic Leap,https://www.linkedin.com/sales/accounts/insights?companyId=3098033,https://www.magicleap.com/#/join,Miami/Fort Lauderdale Area,Consumer Electronics,1001-5000,"1,529 employees on LinkedIn",3098033
70,Oculus VR,https://www.linkedin.com/sales/accounts/insights?companyId=2763277,http://www.oculus.com,San Francisco Bay Area,Consumer Electronics,501-1000,"1,314 employees on LinkedIn",2763277
71,Little Caesars Pizza,https://www.linkedin.com/sales/accounts/insights?companyId=31820,http://www.littlecaesars.com,Greater Detroit Area,Food,10001,"7,621 employees on LinkedIn",31820
72,Dairy Queen,https://www.linkedin.com/sales/accounts/insights?companyId=16358,http://www.dairyqueen.com,Greater Minneapolis-St. Paul Area,Food,201-500,"9,686 employees on LinkedIn",16358
